,ASSD,FN,FP,TN,TP,code,group,hausdorf,image
55,0.234673615626,15404.0,1436.0,6912514.0,17462.0,i2ifc,aorta,2.56507111865,0150
56,0.250783709314,18797.0,2925.0,6911025.0,14069.0,i2i3d,aorta,2.53044209715,0150
57,0.22938229157,13151.0,1249.0,6912701.0,19715.0,i2i,aorta,2.56507111865,0150
58,0.589314976794,30881.0,53.0,6913897.0,1985.0,drls,aorta,3.25333175075,0150
59,0.434368982927,31526.0,3.0,6913947.0,1340.0,oof,aorta,2.67074400405,0150
60,0.0423925288974,3.0,268.0,3145174.0,283.0,i2ifc,left_internal_iliac,0.281701718771,0006
61,0.0919916900298,53.0,504.0,3144938.0,233.0,i2i3d,left_internal_iliac,0.672099667433,0006
62,0.0429699432269,17.0,261.0,3145181.0,269.0,i2i,left_internal_iliac,0.281701718771,0006
63,0.0450125234999,158.0,46.0,3145396.0,128.0,drls,left_internal_iliac,0.191378631986,0006
64,0.038070984168,54.0,151.0,3145291.0,232.0,oof,left_internal_iliac,0.349407979211,0006
65,0.164825862897,230.0,426.0,15792652.0,868.0,i2ifc,LPA_br1,2.2676934827,0119
66,0.210059274239,395.0,753.0,15792325.0,703.0,i2i3d,LPA_br1,2.30517855907,0119
67,0.169462326535,243.0,479.0,15792599.0,855.0,i2i,LPA_br1,2.2676934827,0119
68,0.217412620629,195.0,2059.0,15791019.0,903.0,drls,LPA_br1,1.8862137472,0119
69,0.229911904009,270.0,2417.0,15790661.0,828.0,oof,LPA_br1,1.8862137472,0119
70,0.0312677306408,67.0,273.0,15793248.0,588.0,i2ifc,RPA_br7,0.213800191902,0119
71,0.101892816659,333.0,440.0,15793081.0,322.0,i2i3d,RPA_br7,0.617187991738,0119
72,0.0367393137175,107.0,289.0,15793232.0,548.0,i2i,RPA_br7,0.261850688535,0119
73,0.118906664824,17.0,2444.0,15791077.0,638.0,drls,RPA_br7,0.54508567526,0119
74,0.179653326946,13.0,4934.0,15788587.0,642.0,oof,RPA_br7,0.530925185585,0119
75,0.0473829415738,4.0,1715.0,4715782.0,1091.0,i2ifc,L_vtbrl_pre,0.394670036505,0171
76,0.0341402386482,1.0,1495.0,4716002.0,1094.0,i2i3d,L_vtbrl_pre,0.225133856943,0171
77,0.0255196443765,2.0,1050.0,4716447.0,1093.0,i2i,L_vtbrl_pre,0.189342401982,0171
78,0.19666530902,0.0,25330.0,4692167.0,1095.0,drls,L_vtbrl_pre,0.508302243252,0171
79,0.157698420311,0.0,16884.0,4700613.0,1095.0,oof,L_vtbrl_pre,0.489722150871,0171
80,0.59115231663,0.0,1749.0,12843297.0,10.0,i2ifc,rca3,2.47892607691,cabg11
81,0.601442457938,8.0,699.0,12844347.0,2.0,i2i3d,rca3,2.43418028699,cabg11
82,0.553292903507,2.0,1137.0,12843909.0,8.0,i2i,rca3,2.48856002558,cabg11
83,0.603705709451,0.0,2400.0,12842646.0,10.0,drls,rca3,2.50174612959,cabg11
84,0.620269156949,0.0,7654.0,12837392.0,10.0,oof,rca3,2.51664647652,cabg11
85,0.0566118763662,5.0,76.0,15794050.0,45.0,i2ifc,RPA_br2_br1,0.365133340029,0119
86,0.0562828705831,6.0,64.0,15794062.0,44.0,i2i,RPA_br2_br1,0.365133340029,0119
87,0.107267238532,3.0,365.0,15793761.0,47.0,drls,RPA_br2_br1,0.485974310669,0119
88,0.162825801401,0.0,946.0,15793180.0,50.0,oof,RPA_br2_br1,0.516376521544,0119
89,0.211107375124,75.0,5605.0,12837131.0,2245.0,i2ifc,rca,2.44031637005,cabg11
90,0.355851440331,237.0,9525.0,12833211.0,2083.0,i2i3d,rca,2.77361377377,cabg11
91,0.227798775871,146.0,5918.0,12836818.0,2174.0,i2i,rca,2.46379761829,cabg11
92,0.350497746508,1197.0,3884.0,12838852.0,1123.0,drls,rca,2.44399062513,cabg11
93,0.373856762921,1118.0,6728.0,12836008.0,1202.0,oof,rca,2.49336304096,cabg11
94,0.0354641654651,0.0,237.0,47447684.0,146.0,i2ifc,knee_right,0.185289859796,0004
95,0.53505191513,135.0,386.0,47447528.0,11.0,i2i3d,knee_right,1.6089306522,0004
96,0.151117249787,29.0,1827.0,47446092.0,117.0,i2i,knee_right,0.685822827238,0004
97,0.0401408502079,64.0,85.0,47447824.0,82.0,drls,knee_right,0.202974871774,0004
98,0.0422505197122,61.0,103.0,47447812.0,85.0,oof,knee_right,0.21923791871,0004
99,0.0404007583025,9.0,285.0,4718248.0,50.0,i2ifc,R_incrd_b8,0.189342401982,0171
100,0.187342644887,42.0,226.0,4718307.0,17.0,i2i3d,R_incrd_b8,0.57128240283,0171
101,0.0725570997675,44.0,125.0,4718408.0,15.0,i2i,R_incrd_b8,0.283468993454,0171
102,0.152247586359,9.0,4959.0,4713574.0,50.0,drls,R_incrd_b8,0.47433435117,0171
103,0.101107713504,9.0,1964.0,4716569.0,50.0,oof,R_incrd_b8,0.479518487114,0171
104,2.64498500154,51462.0,1232.0,29696122.0,4535.0,i2ifc,disection,13.3542694601,0177
105,2.75130262852,54607.0,1363.0,29696000.0,1390.0,i2i3d,disection,13.3708642042,0177
106,2.62233735675,51999.0,623.0,29696736.0,3998.0,i2i,disection,13.2993251547,0177
107,3.34853267545,55960.0,237.0,29697124.0,37.0,drls,disection,14.5882961824,0177
108,2.79963158344,55604.0,265.0,29697096.0,393.0,oof,disection,13.5100708154,0177
109,0.246607096074,92.0,169.0,15793841.0,74.0,i2ifc,LPA_br6,1.35500527772,0119
110,0.318814572273,122.0,358.0,15793652.0,44.0,i2i3d,LPA_br6,1.35921555802,0119
111,0.25106173943,101.0,182.0,15793828.0,65.0,i2i,LPA_br6,1.35921555802,0119
112,0.318014346583,94.0,1060.0,15792950.0,72.0,drls,LPA_br6,1.33375453142,0119
113,0.312467744873,94.0,1110.0,15792900.0,72.0,oof,LPA_br6,1.31215966921,0119
114,0.0430613650498,5.0,104.0,4718456.0,27.0,i2ifc,L_incrd_b6,0.235860459439,0171
115,0.0926128160204,13.0,238.0,4718322.0,19.0,i2i3d,L_incrd_b6,0.437738486888,0171
116,0.109129754499,26.0,69.0,4718491.0,6.0,i2i,L_incrd_b6,0.316440012306,0171
117,0.147437817489,7.0,4324.0,4714236.0,25.0,drls,L_incrd_b6,0.478227721685,0171
118,0.112748639673,9.0,2520.0,4716040.0,23.0,oof,L_incrd_b6,0.459776678445,0171
119,0.168093634838,0.0,359.0,4849288.0,17.0,i2ifc,IMA,0.767575640104,0148
120,0.272022553806,6.0,1003.0,4848644.0,11.0,i2i3d,IMA,1.12873728191,0148
121,0.239592278682,4.0,538.0,4849109.0,13.0,i2i,IMA,0.883503601171,0148
122,0.10071518742,6.0,91.0,4849556.0,11.0,drls,IMA,0.625927046842,0148
123,0.0941556945802,8.0,148.0,4849499.0,9.0,oof,IMA,0.44090472061,0148
124,0.0435623571708,5.0,75.0,15794061.0,35.0,i2ifc,RPA_br1_br1_br2_b2,0.138007430442,0119
125,0.236940308609,37.0,12.0,15794124.0,3.0,i2i3d,RPA_br1_br1_br2_b2,0.76341938424,0119
126,0.0414334177196,13.0,52.0,15794084.0,27.0,i2i,RPA_br1_br1_br2_b2,0.185156397521,0119
127,0.0830040016139,6.0,196.0,15793940.0,34.0,drls,RPA_br1_br1_br2_b2,0.409396198742,0119
128,0.152904725432,5.0,917.0,15793219.0,35.0,oof,RPA_br1_br1_br2_b2,0.497592866855,0119
129,0.1280567103,4.0,260.0,12844780.0,12.0,i2ifc,om1,0.570983754804,cabg11
130,0.617631477148,16.0,171.0,12844869.0,0.0,i2i3d,om1,1.2180113674,cabg11
131,0.119047757191,16.0,62.0,12844978.0,0.0,i2i,om1,0.496749544453,cabg11
132,0.181161553316,5.0,1303.0,12843737.0,11.0,drls,om1,0.685267806588,cabg11
133,0.193357172472,4.0,1922.0,12843118.0,12.0,oof,om1,0.797241633701,cabg11
134,0.0275941165189,4.0,161.0,4718393.0,34.0,i2ifc,L_vtbrl_b1,0.153258892815,0171
135,0.130214436524,18.0,335.0,4718219.0,20.0,i2i3d,L_vtbrl_b1,0.800228036628,0171
136,0.0496318192875,24.0,79.0,4718475.0,14.0,i2i,L_vtbrl_b1,0.205016276596,0171
137,0.175597750795,2.0,5678.0,4712876.0,36.0,drls,L_vtbrl_b1,0.508302243252,0171
138,0.145880448843,2.0,3754.0,4714800.0,36.0,oof,L_vtbrl_b1,0.47433435117,0171
139,0.0477636675961,8.0,16.0,12845029.0,3.0,i2ifc,om4,0.116015698761,cabg11
140,0.340735223518,11.0,4.0,12845041.0,0.0,i2i3d,om4,0.37293829388,cabg11
141,0.106765350102,10.0,3.0,12845042.0,1.0,i2i,om4,0.211814717453,cabg11
142,0.150962510787,8.0,156.0,12844889.0,3.0,drls,om4,0.447659602339,cabg11
143,0.151153348781,8.0,395.0,12844650.0,3.0,oof,om4,0.472050693074,cabg11
144,0.0549688583038,1.0,413.0,3144938.0,376.0,i2ifc,superior_mesentaric,0.500276092442,0006
145,0.0919003261213,24.0,759.0,3144592.0,353.0,i2i3d,superior_mesentaric,0.552462523471,0006
146,0.0617237442904,21.0,476.0,3144875.0,356.0,i2i,superior_mesentaric,0.475246232475,0006
147,0.0606016182691,201.0,161.0,3145190.0,176.0,drls,superior_mesentaric,0.247068751501,0006
148,0.0521701278439,63.0,283.0,3145068.0,314.0,oof,superior_mesentaric,0.427935630562,0006
149,0.0474133174052,9.0,104.0,3145563.0,52.0,i2ifc,celiac_branch,0.349407979211,0006
150,0.155360625114,37.0,375.0,3145292.0,24.0,i2i3d,celiac_branch,0.524111968816,0006
151,0.14263006572,8.0,704.0,3144963.0,53.0,i2i,celiac_branch,0.568794980842,0006
152,0.0598333634115,14.0,114.0,3145553.0,47.0,drls,celiac_branch,0.312519997358,0006
153,0.0677141539352,2.0,200.0,3145467.0,59.0,oof,celiac_branch,0.481625661981,0006
154,0.215857200991,55.0,47.0,15794051.0,23.0,i2ifc,LPA_br1_br2,1.05103327717,0119
155,0.412525953165,77.0,73.0,15794025.0,1.0,i2i3d,LPA_br1_br2,1.09540002009,0119
156,0.202818288004,61.0,15.0,15794083.0,17.0,i2i,LPA_br1_br2,1.05103327717,0119
157,0.309698948887,55.0,416.0,15793682.0,23.0,drls,LPA_br1_br2,1.05103327717,0119
158,0.328027028615,55.0,721.0,15793377.0,23.0,oof,LPA_br1_br2,1.04740275414,0119
159,0.197381952251,188.0,65.0,15793741.0,182.0,i2ifc,LPA_br5,1.5255908412,0119
160,0.273099736009,197.0,240.0,15793566.0,173.0,i2i3d,LPA_br5,1.54789960845,0119
161,0.205671494154,226.0,58.0,15793748.0,144.0,i2i,LPA_br5,1.52434189229,0119
162,0.299426603798,183.0,1092.0,15792714.0,187.0,drls,LPA_br5,1.51305496035,0119
163,0.30874404072,180.0,1186.0,15792620.0,190.0,oof,LPA_br5,1.50801142978,0119
164,0.0219444479872,1.0,124.0,4718429.0,38.0,i2ifc,L_incrd_b5,0.105480004102,0171
165,0.0349961229603,8.0,147.0,4718406.0,31.0,i2i3d,L_incrd_b5,0.270069094998,0171
166,0.0421629639401,28.0,51.0,4718502.0,11.0,i2i,L_incrd_b5,0.14917125236,0171
167,0.180085702323,0.0,6015.0,4712538.0,39.0,drls,L_incrd_b5,0.478227721685,0171
168,0.1369621297,0.0,3447.0,4715106.0,39.0,oof,L_incrd_b5,0.402424609332,0171
169,0.0368039280515,10.0,163.0,15793877.0,126.0,i2ifc,RPA_br1_br2,0.230930600832,0119
170,0.0643781322353,64.0,160.0,15793880.0,72.0,i2i3d,RPA_br1_br2,0.432031594217,0119
171,0.0452668065957,34.0,176.0,15793864.0,102.0,i2i,RPA_br1_br2,0.269026008515,0119
172,0.124200657667,0.0,1172.0,15792868.0,136.0,drls,RPA_br1_br2,0.497592866855,0119
173,0.200518977621,0.0,2916.0,15791124.0,136.0,oof,RPA_br1_br2,0.497592866855,0119
174,0.0669625471362,1.0,59.0,15794092.0,24.0,i2ifc,RPA_br9_br2,0.395193138895,0119
175,0.163008795642,18.0,31.0,15794120.0,7.0,i2i3d,RPA_br9_br2,0.809434462752,0119
176,0.0857863142516,10.0,46.0,15794105.0,15.0,i2i,RPA_br9_br2,0.395193138895,0119
177,0.10863661454,1.0,238.0,15793913.0,24.0,drls,RPA_br9_br2,0.505190143894,0119
